               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.060851,           0.0097627,                   0,             0.82258,             0.73438,             0.83061,             0.34919,            0.049039,           0.0076142,                   0,           0.0072527,           0.0072527,           0.0072527
                 113,            0.059997,            0.012185,                   0,             0.87986,             0.73438,             0.83918,             0.38422,            0.047231,           0.0077021,                   0,            0.007228,            0.007228,            0.007228
                 114,            0.055908,            0.010521,                   0,             0.90239,             0.72233,             0.86485,             0.36012,            0.049136,           0.0075443,                   0,           0.0072033,           0.0072033,           0.0072033
                 115,            0.058543,            0.011128,                   0,             0.90765,             0.73438,             0.84967,             0.42285,            0.046228,           0.0075154,                   0,           0.0071785,           0.0071785,           0.0071785
                 116,             0.05683,            0.011959,                   0,             0.90765,             0.73438,             0.84967,             0.42285,            0.046228,           0.0075154,                   0,           0.0071538,           0.0071538,           0.0071538
                 117,            0.056583,            0.010152,                   0,             0.97798,             0.69407,             0.86216,             0.46578,             0.04326,           0.0076668,                   0,            0.007129,            0.007129,            0.007129
                 118,            0.058042,            0.011198,                   0,                   1,             0.65471,             0.83502,             0.46227,            0.044025,           0.0075546,                   0,           0.0071042,           0.0071042,           0.0071042
                 119,            0.057484,            0.010377,                   0,             0.89231,             0.73438,             0.83987,             0.44294,            0.043521,           0.0076358,                   0,           0.0070795,           0.0070795,           0.0070795
                 120,            0.050288,            0.012754,                   0,             0.89231,             0.73438,             0.83987,             0.44294,            0.043521,           0.0076358,                   0,           0.0070547,           0.0070547,           0.0070547
                 121,            0.058686,            0.010387,                   0,             0.89723,             0.73438,             0.85052,             0.41683,            0.048245,           0.0074089,                   0,             0.00703,             0.00703,             0.00703
                 122,            0.056115,            0.010678,                   0,              0.8143,             0.64062,             0.78643,             0.36124,            0.050659,           0.0072042,                   0,           0.0070053,           0.0070053,           0.0070053
                 123,            0.055332,            0.010349,                   0,             0.62982,             0.64062,             0.72799,             0.36219,            0.055127,            0.006904,                   0,           0.0069805,           0.0069805,           0.0069805
